iter	Logloss
163	0.36086343
164	0.3607480465
165	0.3605707764
166	0.3603421653
167	0.3600897638
168	0.3599835347
169	0.3598526986
170	0.3597075221
171	0.359597018
172	0.359343578
173	0.3592204088
174	0.359029588
175	0.3588941505
176	0.3587526525
177	0.358605497
178	0.3585017033
179	0.3583998535
180	0.3583018033
181	0.3581562831
182	0.3580224609
183	0.3578817403
184	0.3577526458
185	0.3576415282
186	0.3575169783
187	0.3572666218
188	0.3570279314
189	0.3568673854
190	0.356801715
191	0.3566277856
192	0.3565371151
193	0.3563050235
194	0.3561192301
195	0.3559865894
196	0.3559031906
197	0.3557406722
198	0.3556401307
199	0.3555425599
200	0.3553931181
201	0.3553909311
202	0.3551988959
203	0.3551052792
204	0.3549418636
205	0.3548053722
206	0.3547327752
207	0.3545531913
208	0.354516066
209	0.3543703881
210	0.3542644943
211	0.3541890006
212	0.3539960311
213	0.3538448156
214	0.3538097741
215	0.3536666599
216	0.3534843568
217	0.3533404685
218	0.3531298521
219	0.3530236683
220	0.3529448274
221	0.3528248471
222	0.3527542337
223	0.3526954292
224	0.3524718173
225	0.3523279432
226	0.35225731
227	0.3521796392
228	0.3520694785
229	0.3520060321
230	0.3518915287
231	0.351851942
232	0.3516997929
233	0.3516045014
234	0.3514898105
235	0.3514367773
236	0.3513171651
237	0.3512379652
238	0.3510676007
239	0.3508930635
240	0.3507630255
241	0.350624518
242	0.3505119235
243	0.3503885899
244	0.350304378
245	0.3502299623
246	0.3500777351
247	0.3499075669
248	0.3498296776
249	0.3497783131
250	0.3495522153
251	0.3494489291
252	0.3494385435
253	0.3493335395
254	0.3492106972
255	0.3491181448
256	0.3490580112
257	0.3489564361
258	0.3488029418
259	0.3486897634
260	0.3486462195
261	0.3485531418
262	0.3483730072
263	0.3481799433
264	0.3481397975
265	0.3480436805
266	0.3479273765
267	0.3477952525
268	0.3476743237
269	0.3476253773
270	0.3475362714
271	0.347418268
272	0.3472152813
273	0.3471584036
274	0.3470000989
275	0.3469748243
276	0.3469081968
277	0.3467803131
278	0.3467197639
279	0.3466166629
280	0.346490939
281	0.346392925
282	0.3462397756
283	0.3461355844
284	0.3459988729
285	0.3459250553
286	0.3457292823
287	0.3456412053
288	0.3454729894
289	0.3453672166
290	0.3452441176
291	0.3451803231
292	0.345015617
293	0.344869932
294	0.3447163461
295	0.3446842793
296	0.3445070201
297	0.3444059745
298	0.3443336422
299	0.3442531149
300	0.3441402356
301	0.3440608005
302	0.3440093102
303	0.3439320481
304	0.3438525292
305	0.3437425677
306	0.3436652326
307	0.3436285668
308	0.3435524937
309	0.3434136585
310	0.3433401432
311	0.3432207523
312	0.3431578633
313	0.3431019703
314	0.3430738455
315	0.342994812
316	0.3429235149
317	0.3427664613
318	0.3426810237
319	0.3425687852
320	0.3424485111
321	0.3424438873
322	0.34238667
323	0.3423242483
324	0.3422377329
325	0.3421583689
326	0.3420386769
327	0.3419322047
328	0.341752176
329	0.3416869554
330	0.3416527846
331	0.341525563
332	0.3414157467
333	0.3412751149
334	0.3412115049
335	0.3410704137
336	0.3409538556
337	0.3408789818
338	0.3407374324
339	0.3406969322
340	0.3405616649
341	0.340465642
342	0.3402658132
343	0.3401599569
344	0.3401142742
345	0.3400105398
346	0.3398765649
347	0.3397823805
348	0.3395830926
349	0.339420633
350	0.3393627521
351	0.3392552349
352	0.3392197107
353	0.3391658129
354	0.3390577266
355	0.3389245232
356	0.3388136655
357	0.3387663337
358	0.338692189
359	0.3386363282
360	0.3385092664
361	0.3383963288
362	0.3383251112
363	0.33827142
364	0.3381760225
365	0.3380757152
366	0.3379974964
367	0.3379325229
368	0.3378062708
369	0.3377493954
370	0.3376251871
371	0.3374459953
372	0.3373546083
373	0.3372198661
374	0.3370901629
375	0.3370495046
376	0.3369183276
377	0.336848636
378	0.3367658412
379	0.3367093367
380	0.3366451109
381	0.3365355987
382	0.3364158534
383	0.3363493445
384	0.3362383428
385	0.3361412579
386	0.3360695185
387	0.3359882321
388	0.3358600455
389	0.3357918886
390	0.3357108432
391	0.3356328089
392	0.3355754678
393	0.3354695648
394	0.3354163856
395	0.3353584972
396	0.3352636726
397	0.3351617286
398	0.3350802872
399	0.3350064298
400	0.3349029088
401	0.3347551317
402	0.334669204
403	0.3345913348
404	0.3345154645
405	0.3344330898
406	0.3343145229
407	0.3342490244
408	0.3341333625
409	0.3340221203
410	0.3339457722
411	0.333880294
412	0.3337985402
413	0.3337137898
414	0.3336263331
415	0.3335458311
416	0.3334305652
417	0.3333692654
418	0.3332742243
419	0.3332359894
420	0.3331678473
421	0.3330765066
422	0.3330279278
423	0.3329430565
424	0.3328784374
425	0.3327938465
426	0.3326212483
427	0.3325497801
428	0.3324799187
429	0.3323246301
430	0.3322809936
431	0.3322108162
432	0.3321333382
433	0.3320577955
434	0.3319965254
435	0.3318753018
436	0.3318138444
437	0.3317369961
438	0.3316139635
439	0.3315306142
440	0.3314906955
441	0.3313642176
442	0.3312508432
443	0.3311805723
444	0.3310656568
445	0.3309648296
446	0.330917114
447	0.3308707739
448	0.3307720027
449	0.3306754214
450	0.3306224327
451	0.3305673049
452	0.3303976456
453	0.3303074391
454	0.3301572662
455	0.3300940776
456	0.3300234662
457	0.3299353681
458	0.3298828971
459	0.3298241027
460	0.3297596978
461	0.3297132044
462	0.3296716091
463	0.3295545728
464	0.3294753225
465	0.32941239
466	0.3293391775
467	0.3292433673
468	0.3291755679
469	0.3290988692
470	0.3290317891
471	0.3289134711
472	0.3288416183
473	0.3287099206
474	0.3286271689
475	0.3285813064
476	0.3285063977
477	0.328448292
478	0.3283902383
479	0.3283484447
480	0.3282991938
481	0.3282573988
482	0.3281777114
483	0.3280772054
484	0.3279883464
485	0.327853757
486	0.3277994778
487	0.3277465655
488	0.327682918
489	0.327631354
490	0.3275718017
491	0.3275167408
492	0.3274586021
493	0.3274017139
494	0.3273276679
495	0.3272969748
496	0.327231552
497	0.3271352457
498	0.327087291
499	0.3270301467
500	0.3268808839
501	0.326822884
502	0.3267680728
503	0.3266657444
504	0.3266296832
505	0.326562634
506	0.3265215056
507	0.3264617931
508	0.3263277786
509	0.3262831854
510	0.3261906685
511	0.3261064716
512	0.3260437534
513	0.3259742831
514	0.325935912
515	0.3258633607
516	0.325791714
517	0.3257123438
518	0.3256810755
519	0.3256207091
520	0.3255748248
521	0.32553623
522	0.3254747685
523	0.3253476226
524	0.3252837197
525	0.3252509489
526	0.3251548032
527	0.3251076438
528	0.3250645922
529	0.3249808941
530	0.3248550643
531	0.3247627421
532	0.3246958894
533	0.3245912674
534	0.3245230323
535	0.3244685535
536	0.3244430522
537	0.3243910541
538	0.3242726499
539	0.3242103147
540	0.3240767603
541	0.3239681671
542	0.3238616958
543	0.3238114543
544	0.3237552461
545	0.3237008675
546	0.323638143
547	0.3235866889
548	0.3234439723
549	0.3233752429
550	0.3233160779
551	0.3231758367
552	0.323142044
553	0.3230756184
554	0.3229304656
555	0.3228208677
556	0.3226877292
557	0.3226348271
558	0.3225020656
559	0.3223775371
560	0.3222941283
561	0.3221721612
562	0.3221315869
563	0.3220951332
564	0.3220609568
565	0.3219533684
566	0.3219043701
567	0.3218562894
568	0.3218259074
569	0.3217853699
570	0.3217404594
571	0.3216863388
572	0.3216335903
573	0.321582896
574	0.3214133995
575	0.3213022063
576	0.3212652916
577	0.3212349046
578	0.3211767987
579	0.3211394693
580	0.3209757181
581	0.3208488737
582	0.3208002208
583	0.3207460192
584	0.3206839886
585	0.3205660365
586	0.3205062567
587	0.3204367131
588	0.3203531207
589	0.3203049741
590	0.3202171693
591	0.3201077459
592	0.3199450876
593	0.3198304381
594	0.3197258803
595	0.3196073778
596	0.3194942562
597	0.3194554335
598	0.3194253987
599	0.3193041323
600	0.319175633
601	0.3191292676
602	0.3190202752
603	0.3189162361
604	0.3188637594
605	0.318807228
606	0.3187641209
607	0.3187207587
608	0.3186669784
609	0.3186004199
610	0.3184869614
611	0.3184464419
612	0.3184016674
613	0.3183078695
614	0.3182181168
615	0.3181376412
616	0.3180571512
617	0.3179621959
618	0.3179264761
619	0.3178236702
620	0.3177573239
621	0.3176627894
622	0.3176200212
623	0.3175423206
624	0.3174823969
625	0.3173655701
626	0.3173034232
627	0.3172131929
628	0.3171692169
629	0.317074498
630	0.3169895518
631	0.3169098889
632	0.3167782633
633	0.3167454719
634	0.3165924622
635	0.3165338561
636	0.3164323117
637	0.3163275558
638	0.3162434771
639	0.3161102633
640	0.3159640113
641	0.31588393
642	0.3158200436
643	0.315748786
644	0.3156605096
645	0.3156100332
646	0.315532793
647	0.3154588805
648	0.3154256849
649	0.3153523212
650	0.315292872
651	0.3151908567
652	0.3151352953
653	0.3151024056
654	0.3149772299
655	0.3149072547
656	0.3148225874
657	0.3147658302
658	0.3147358916
659	0.3146277109
660	0.3145052112
661	0.3144745282
662	0.3143572716
663	0.3142897307
664	0.3141886124
665	0.3141477095
666	0.3140376686
667	0.3140078445
668	0.3139269778
669	0.3138219471
670	0.3137722583
671	0.313731004
672	0.3136535
673	0.3135642383
674	0.3135037898
675	0.3134647481
676	0.3134246312
677	0.313317052
678	0.3132806105
679	0.3132393272
680	0.313199564
681	0.3131725893
682	0.3130928901
683	0.312955265
684	0.3129169368
685	0.3128607306
686	0.3127477273
687	0.3126411396
688	0.3126141597
689	0.3125277078
690	0.3124346286
691	0.312381155
692	0.3123105068
693	0.312287791
694	0.3122597444
695	0.312221363
696	0.3121536575
697	0.3120780867
698	0.311975037
699	0.3118955376
700	0.3118143164
701	0.3117036933
702	0.3116635661
703	0.3115910218
704	0.3115055403
705	0.311472306
706	0.3113648145
707	0.3113101627
708	0.3112624851
709	0.3111504626
710	0.3111255442
711	0.3110222892
712	0.3109337314
713	0.3108292025
714	0.3107400592
715	0.3105977141
716	0.3105664471
717	0.3105262043
718	0.3104449209
719	0.3103805822
720	0.310347909
721	0.3102122363
722	0.3100922435
723	0.3100656458
724	0.3099969455
725	0.3099030198
726	0.3098741906
727	0.3098332581
728	0.3098080172
729	0.3097656066
730	0.3097334083
731	0.3096371059
732	0.3096000613
733	0.3094784366
734	0.3093984418
735	0.3093682099
736	0.3093065358
737	0.3092709209
738	0.3092036813
739	0.3091326229
740	0.3090524534
741	0.3090180153
742	0.3089226626
743	0.3088454161
744	0.308779204
745	0.3086638631
746	0.3086398796
747	0.3085519496
748	0.3085129261
749	0.3084546874
750	0.3084191625
751	0.3083713728
752	0.3083027922
753	0.3082194229
754	0.3081813576
755	0.308165113
756	0.3080733686
757	0.3080378128
758	0.3079837894
759	0.3079072934
760	0.3078848124
761	0.307842219
762	0.3077632442
763	0.3076883339
764	0.3075896823
765	0.3075490686
766	0.3074072442
767	0.3073855318
768	0.3072789162
769	0.3071575593
770	0.3071216926
771	0.307069112
772	0.3070423781
773	0.3070216604
774	0.3070003306
775	0.3069450189
776	0.30691062
777	0.3068151731
778	0.3067960637
779	0.3067266071
780	0.3066320489
781	0.3065393975
782	0.3064996787
783	0.3064720062
784	0.3064420073
785	0.3063882396
786	0.306304072
787	0.3062074853
788	0.3061043594
789	0.306082558
790	0.3059995498
791	0.3059319431
792	0.3058524788
793	0.3058096926
794	0.3057707939
795	0.3057062496
796	0.3055874137
797	0.3055510885
798	0.3054969504
799	0.3054392767
800	0.3053702842
801	0.3052607258
802	0.305145244
803	0.3050651281
804	0.3049918137
805	0.304973573
806	0.3049129699
807	0.3048637184
808	0.3047941037
809	0.3047784791
810	0.3046921172
811	0.3046715092
812	0.3045924208
813	0.3045508972
814	0.3044889053
815	0.3043814312
816	0.3042991949
817	0.3042607751
818	0.3041489227
819	0.3040382776
820	0.3040095231
821	0.3039731111
822	0.3039528019
823	0.3038750734
824	0.3038452939
825	0.3037305396
826	0.3036478081
827	0.3035522037
828	0.3034746464
829	0.3034280721
830	0.3033384698
831	0.3033234677
832	0.3033050173
833	0.3032331939
834	0.3031467592
835	0.3030447129
836	0.3030082046
837	0.3029510754
838	0.3029309172
839	0.302863523
840	0.3028294825
841	0.3027675139
842	0.3027288416
843	0.3027082152
844	0.3026238066
845	0.3025233799
846	0.3024435036
847	0.3024065685
848	0.3023431258
849	0.3022315559
850	0.302214788
851	0.3021068822
852	0.3020397181
853	0.3019657909
854	0.3018463863
855	0.301766784
856	0.3017349066
857	0.3016624119
858	0.3016312381
859	0.3016070236
860	0.3015460727
861	0.3015042323
862	0.3014450562
863	0.3014252106
864	0.3013661232
865	0.3012749374
866	0.3012408474
867	0.3011685519
868	0.3010922884
869	0.3010608504
870	0.3009966628
871	0.3009775471
872	0.300887954
873	0.3008076299
874	0.300748832
875	0.3007211686
876	0.300627021
877	0.3005696408
878	0.3004876429
879	0.3004342784
880	0.3003920885
881	0.3002642351
882	0.300142266
883	0.3000732939
884	0.3000139501
885	0.3000016996
886	0.2999677568
887	0.2998912217
888	0.2998247532
889	0.299812744
890	0.2997356113
891	0.2996962376
892	0.2996682491
893	0.2996422794
894	0.2995565008
895	0.2994893908
896	0.299388215
897	0.2993605467
898	0.2992945727
899	0.299283044
900	0.299241799
901	0.2991729603
902	0.2991045539
903	0.2990905937
904	0.2990080064
905	0.2988958654
906	0.2987734316
907	0.2987229693
908	0.2986384415
909	0.2986279946
910	0.2985542565
